attributeName,attributeDefinition,formatString,definition,unit,numberType,type,factor,comment
plot,Serial number of the plot,NA,serial number of the plot,NA,NA,character,NA,NA
block,Serial numer of a pair of plots (water and landside),NA,serial numer of a pair of plots (water and landside),NA,NA,character,NA,NA
comparison,Which years are compared with each other for calculating the temporal beta-diversity index (TBI)?,NA,NA,NA,NA,factor,1718 / 1819 / 1921 / 1719 / 1721,NA
pool,All species used or only the subset of Ellenberg target species,NA,NA,NA,NA,factor,all / target,NA
presabu,Presence-absensce or abundance data,NA,NA,NA,NA,factor,presence / abundance,NA
exposition,Exposition of the plots,NA,NA,NA,NA,factor,north / south,NA
orientation,Is the plot on the slope oriented to the water or to the land?,NA,NA,NA,NA,factor,water / land,NA
pc1_soil,Principal component 1 of 13 soil parameter see outputs/statistics/pca_soil.csv,NA,NA,dimensionless,real,numeric,NA,NA
pc2_soil,Principal component 2 of 13 soil parameter see outputs/statistics/pca_soil.csv,NA,NA,dimensionless,real,numeric,NA,NA
pc3_soil,Principal component 3 of 13 soil parameter see outputs/statistics/pca_soil.csv,NA,NA,dimensionless,real,numeric,NA,NA
location,Nearest village of the plot,NA,nearest village of the plot,NA,NA,character,NA,NA
location_abb,Abbreviation of the location,NA,abbreviation of the location,NA,NA,character,NA,NA
location_construction_year,Combination of locationAbb and constructionYear,NA,combination of locationAbb and constructionYear,NA,NA,character,NA,NA
river_km,Official km of river Danube taken from the BayernAtlas,NA,NA,kilometer,real,numeric,NA,NA
river_distance,Orthogonal distance to center of the river bed of River Danube,NA,NA,meter,real,numeric,NA,NA
biotope_distance,Distance to closesed grassland habitat,NA,NA,meter,real,numeric,NA,LfU (Bayerisches Landesamt fuer Umwelt) (2022) Biotopkartierung Bayern. Bayerisches Fachinformationssystem Naturschutz. https://www.lfu.bayern.de/natur/biotopflaechen_sachdaten/index.htm
biotope_area,Area of biotopes within a 500 m radius around each plot,NA,NA,meterSquared,real,numeric,NA,LfU (Bayerisches Landesamt fuer Umwelt) (2022) Biotopkartierung Bayern. Bayerisches Fachinformationssystem Naturschutz. https://www.lfu.bayern.de/natur/biotopflaechen_sachdaten/index.htm
construction_year,Year in which the dike was constructed and seeded,YYYY,NA,NA,Date,numeric,NA,NA
b,Additive component of D: losses,NA,NA,dimensionless,real,numeric,NA,NA
c,Additive component of D: gains,NA,NA,dimensionless,real,numeric,NA,NA
d,Temporal beta-diversity index (TBI),NA,NA,dimensionless,real,numeric,NA,NA
