"","term","statistic","df","p.value"
"1","(Intercept)",1.2604817774579,1,0.26155991639456
"2","comparison",7.68206485728717,2,0.0214714221865768
"3","exposition",1.77886701674534,1,0.182288511816384
"4","PC1soil",0.0623039263571449,1,0.802890863440894
"5","PC2soil",0.0523875400599702,1,0.818959663101702
"6","PC3soil",0.460547711996151,1,0.497368110466561
"7","side",0.332323717431415,1,0.564293992111435
"8","locationYear",2.60402664679557,11,0.994993147087053
"9","distanceRiver",0.0379223562752479,1,0.845599131810379
"10","comparison:exposition",11.04217553811,2,0.00400149287374369
