"";"term";"statistic";"df";"p.value"
"1";"type";5,29053776974347;2;0,0709862640407847
"2";"exposition";0,380427284781937;1;0,537374649457149
"3";"PC1";0,617957144775751;1;0,431807438212487
"4";"PC2";0,569587754390027;1;0,450422778309226
"5";"PC3";0,341796517526472;1;0,558794069039727
"6";"ffh";3,21234685415874;1;0,0730845854667784
"7";"changeType";4,34349011184319;4;0,36151088446376
"8";"type:exposition";1,48392012805748;2;0,47617965759939
"9";"type:PC1";0,441467441001037;2;0,801930189431841
"10";"type:PC2";0,35656416759105;2;0,836706368888469
"11";"type:PC3";0,460645571219626;2;0,794277179876926
"12";"type:ffh";0,528342827466187;2;0,767841909727268
"13";"type:changeType";5,47122054259326;8;0,706226389534956
